Nom station;Capacité de la station;Nombre bornettes libres;Nombre total vélos disponibles;Vélos mécaniques disponibles;Vélos électriques disponibles;Actualisation de la donnée;Nom communes équipées
Benjamin Godard - Victor Hugo;35;31;3;1;2;2023-04-06T13:48:13+02:00;Paris
Mairie de Rosny-sous-Bois;30;22;7;2;5;2023-04-06T13:47:40+02:00;Rosny-sous-Bois
Rouget de L'isle - Watteau;0;0;0;0;0;2023-02-09T10:35:37+01:00;Vitry-sur-Seine
Toudouze - Clauzel;21;16;5;1;4;2023-04-06T13:42:45+02:00;Paris
Cassini - Denfert-Rochereau;25;24;1;1;0;2023-04-06T13:46:30+02:00;Paris
Mairie du 12ème;30;25;2;2;0;2023-04-06T13:48:08+02:00;Paris
Jourdan - Stade Charléty;60;52;6;1;5;2023-04-06T13:48:53+02:00;Paris
Charonne - Robert et Sonia Delaunay;20;18;2;1;1;2023-04-06T13:49:00+02:00;Paris
Basilique;22;13;5;3;2;2023-04-06T13:44:09+02:00;Saint-Denis
Saint-Sulpice;21;1;19;15;4;2023-04-06T13:48:31+02:00;Paris
Messine - Place Du Pérou;12;5;6;3;3;2023-04-06T13:48:32+02:00;Paris
Le Brun - Gobelins;48;46;1;0;1;2023-04-06T13:47:56+02:00;Paris
Harpe - Saint-Germain;45;45;0;0;0;2023-04-06T13:47:05+02:00;Paris
Lacépède - Monge;23;18;4;2;2;2023-04-06T13:48:30+02:00;Paris
Jean Rostand - Paul Vaillant Couturier;0;0;0;0;0;2023-04-05T11:45:11+02:00;Bobigny
André Karman - République;31;10;21;15;6;2023-04-06T13:48:26+02:00;Aubervilliers
Saint-Romain - Cherche-Midi;17;3;12;5;7;2023-04-06T13:46:12+02:00;Paris
Bois de Vincennes - Gare;50;20;27;17;10;2023-04-06T13:46:48+02:00;Nogent-sur-Marne
Pierre et Marie Curie - Maurice Thorez;27;13;14;11;3;2023-04-06T13:48:02+02:00;Ivry-sur-Seine
Place Nelson Mandela;22;17;2;0;2;2023-04-06T13:44:22+02:00;Rueil-Malmaison
Beaux-Arts - Bonaparte;20;1;19;11;8;2023-04-06T13:48:58+02:00;Paris
Grande Armée - Brunel;62;34;26;12;14;2023-04-06T13:48:52+02:00;Paris
Silly - Galliéni;25;14;9;6;3;2023-04-06T13:47:54+02:00;Boulogne-Billancourt
Jouffroy d'Abbans - Wagram;40;11;10;6;4;2023-04-06T13:47:06+02:00;Paris
Bracion - Périphérique;30;30;0;0;0;2023-04-06T13:47:31+02:00;Paris
Morillons - Dantzig;52;51;0;0;0;2023-04-06T13:40:42+02:00;Paris
Square Boucicaut;60;1;57;25;32;2023-04-06T13:47:40+02:00;Paris
Croulebarde - Corvisart;34;12;22;15;7;2023-04-06T13:48:04+02:00;Paris
Vaneau - Sèvres;35;22;11;8;3;2023-04-06T13:48:54+02:00;Paris
Romainville - Vaillant-Couturier;38;36;1;0;1;2023-04-06T13:47:00+02:00;Montreuil
Guersant - Gouvion-Saint-Cyr;36;26;9;6;3;2023-04-06T13:47:14+02:00;Paris
Porte de Saint-Ouen - Bessières;42;33;7;1;6;2023-04-06T13:46:01+02:00;Paris
Thouin - Cardinal Lemoine;17;2;15;4;11;2023-04-06T13:49:03+02:00;Paris
Cambrai - Benjamin Constant;43;32;9;9;0;2023-04-06T13:48:05+02:00;Paris
Froment - Bréguet;43;19;22;18;4;2023-04-06T13:47:48+02:00;Paris
Chazelles - Courcelles;35;25;5;4;1;2023-04-06T13:48:29+02:00;Paris
Boétie - Ponthieu;33;0;31;24;7;2023-04-06T13:49:03+02:00;Paris
Lagny - Victor Basch;26;2;23;4;19;2023-04-06T13:47:12+02:00;Vincennes
Le Brix et Mesmin - Jourdan;21;20;1;0;1;2023-04-06T13:46:20+02:00;Paris
Saint-Cloud - Hippodrome;30;19;11;5;6;2023-04-06T13:48:05+02:00;Paris
Bir Hakeim;33;2;31;27;4;2023-04-06T13:48:34+02:00;Paris
Louis Lejeune - Barbès;25;19;6;1;5;2023-04-06T13:47:19+02:00;Montrouge
Liberté - Vert-de-Maisons;20;3;16;9;7;2023-04-06T13:47:16+02:00;Maisons-Alfort
Général Martial Valin - Pont du Garigliano;16;10;6;4;2;2023-04-06T13:47:19+02:00;Paris
Alibert - Jemmapes;60;58;1;1;0;2023-04-06T13:48:42+02:00;Paris
Rond-point du Dr Albert Schweitzer;22;16;6;0;6;2023-04-06T13:42:43+02:00;Bagneux
Ramponeau - Belleville;44;42;1;0;1;2023-04-06T13:46:14+02:00;Paris
Raspail - Varenne;18;3;13;8;5;2023-04-06T13:47:24+02:00;Paris
Italie - Tolbiac;21;17;3;0;3;2023-04-06T13:48:52+02:00;Paris
Théâtre des Amandiers - Palais des sports;23;17;5;2;3;2023-04-06T13:43:11+02:00;Nanterre
Serrurier;18;17;0;0;0;2023-04-06T13:48:22+02:00;Paris
Vaugirard - Monsieur le Prince;26;19;6;1;5;2023-04-06T13:47:49+02:00;Paris
Raspail Barbès;28;21;6;2;4;2023-04-06T13:39:49+02:00;Montreuil
Michel-Ange - Parent de Rosan;26;15;7;6;1;2023-04-06T13:45:10+02:00;Paris
De Toqueville - Terrasse;30;24;3;0;3;2023-04-06T13:48:56+02:00;Paris
Charlot - Stade Gabriel Voisin;0;0;0;0;0;2023-04-06T13:49:07+02:00;Issy-les-Moulineaux
Jules Guesde - Pont du Port à l'Anglais;30;15;15;13;2;2023-04-06T13:47:09+02:00;Vitry-sur-Seine
Liard - Amiral Mouchez;14;12;2;1;1;2023-04-06T13:41:24+02:00;Paris
Caire - Dussoubs;40;34;5;1;4;2023-04-06T13:45:58+02:00;Paris
Octave Feuillet - Albéric Magnard;21;20;1;0;1;2023-04-06T13:46:43+02:00;Paris
Tour d'Auvergne - Rodier;17;16;1;1;0;2023-04-06T13:40:19+02:00;Paris
Place Georges Guillaumin;29;3;25;9;16;2023-04-06T13:46:28+02:00;Paris
Artois - Berri;23;0;22;10;12;2023-04-06T13:47:56+02:00;Paris
Bellefond - Poissonnière;17;12;5;2;3;2023-04-06T13:45:54+02:00;Paris
Marceau - Chaillot;21;5;16;8;8;2023-04-06T13:43:20+02:00;Paris
Jean Oestreicher - Porte de Champerret;21;19;2;2;0;2023-04-06T13:46:38+02:00;Paris
Regnault - Patay;63;29;33;29;4;2023-04-06T13:46:20+02:00;Paris
Square Louis XVI;29;6;21;8;13;2023-04-06T13:48:17+02:00;Paris
Las Cases - Bourgogne;22;2;19;13;6;2023-04-06T13:48:04+02:00;Paris
Alexandre Parodi - Quai de Valmy;24;22;1;0;1;2023-04-06T13:44:00+02:00;Paris
Félix Ziem - Armand Gauthier;25;19;2;0;2;2023-04-06T13:41:49+02:00;Paris
Gay Lussac - Saint-Jacques;24;6;15;1;14;2023-04-06T13:49:06+02:00;Paris
Abbeville - Faubourg Poissonnière;14;9;4;0;4;2023-04-06T13:46:44+02:00;Paris
Gare de l'Est - Faubourg-Saint-Martin;32;29;2;1;1;2023-04-06T13:47:53+02:00;Paris
Youri Gagarine - Karl Marx;22;22;0;0;0;2023-04-06T13:45:39+02:00;Villejuif
Gare de Nogent-le-Perreux;32;9;20;16;4;2023-04-06T13:44:56+02:00;Nogent-sur-Marne
Ney - Porte de Clignancourt;25;22;2;1;1;2023-04-06T13:39:48+02:00;Paris
Ségur - d'Estrées;19;6;12;7;5;2023-04-06T13:48:13+02:00;Paris
Edgar Quinet - Raspail;46;33;12;3;9;2023-04-06T13:46:21+02:00;Paris
Boulangers - Cardinal Lemoine;20;1;18;10;8;2023-04-06T13:48:17+02:00;Paris
Faubourg Montmartre - La Fayette;35;9;23;20;3;2023-04-06T13:49:04+02:00;Paris
Boudreau - Auber;14;5;8;3;5;2023-04-06T13:46:40+02:00;Paris
Place Jean-Spire-Lemaître;50;42;7;4;3;2023-04-06T13:48:43+02:00;Vincennes
Verger - Colonel Guichard;29;25;4;1;3;2023-04-06T13:47:44+02:00;Issy-les-Moulineaux
Granges aux Belles;27;21;5;1;4;2023-04-06T13:48:52+02:00;Paris
Moulin de Pierre - Abbé Grégoire;0;0;0;0;0;2023-04-06T08:57:47+02:00;Issy-les-Moulineaux
Dunkerque - Rocroy;24;18;4;0;4;2023-04-06T13:48:29+02:00;Paris
Place de la République - Voltaire;19;10;8;7;1;2023-04-06T13:48:14+02:00;Paris
Gabriel Lamé;36;3;32;26;6;2023-04-06T13:48:23+02:00;Paris
Arsène Houssaye - Friedland;29;20;8;1;7;2023-04-06T13:48:45+02:00;Paris
Quai de l'Horloge - Pont Neuf;17;8;8;3;5;2023-04-06T13:45:48+02:00;Paris
Pereire - Ternes;48;41;7;2;5;2023-04-06T13:46:43+02:00;Paris
Ambroise Rendu - Porte Brunet;17;15;2;1;1;2023-04-06T13:48:59+02:00;Paris
Douai - Bruxelles;27;21;6;1;5;2023-04-06T13:49:01+02:00;Paris
Gare Rosny-Bois-Perrier;36;18;16;3;13;2023-04-06T13:43:14+02:00;Rosny-sous-Bois
Gare Saint-Lazare - Isly;27;15;11;3;8;2023-04-06T13:47:55+02:00;Paris
Institut de France;17;0;17;12;5;2023-04-06T13:43:39+02:00;Paris
Porte Pouchet-Bessières;23;19;2;1;1;2023-04-06T13:45:45+02:00;Paris
Vigée-Lebrun - Anselme Payen;24;23;1;1;0;2023-04-06T13:48:27+02:00;Paris
Château - République;26;26;0;0;0;2023-04-06T13:45:37+02:00;Bagnolet
Octave Gréard - Tour Eiffel;33;2;30;25;5;2023-04-06T13:48:12+02:00;Paris
Thionville - Ourcq;24;22;0;0;0;2023-04-06T13:47:48+02:00;Paris
Institut du Monde Arabe - Saint-Germain;40;40;0;0;0;2023-04-06T13:45:12+02:00;Paris
Legendre - Clichy;40;35;2;1;1;2023-04-06T13:48:26+02:00;Paris
Henri Barbusse - Stalingrad;16;8;7;2;5;2023-04-06T13:47:24+02:00;Malakoff
Quai de la Seine;24;19;3;3;0;2023-04-06T13:44:52+02:00;Paris
Rossini - Laffitte;33;5;27;16;11;2023-04-06T13:47:59+02:00;Paris
Lisbonne - Monceau;33;20;13;7;6;2023-04-06T13:48:44+02:00;Paris
Argenteuil - Voltaire;16;13;3;2;1;2023-04-06T13:47:36+02:00;Asnières-sur-Seine
Gare de Lyon - Place Louis Armand;60;2;58;35;23;2023-04-06T13:48:59+02:00;Paris
Ranelagh - Mozart;23;10;12;3;9;2023-04-06T13:41:31+02:00;Paris
Chartres - La Charbonnière;34;31;2;1;1;2023-04-06T13:47:48+02:00;Paris
Place de Rhin et Danube;17;15;0;0;0;2023-04-06T13:48:58+02:00;Paris
Pesaro - Préfecture;22;2;20;6;14;2023-04-06T13:43:18+02:00;Nanterre
Roquette - Thiéré;23;9;12;10;2;2023-04-06T13:46:52+02:00;Paris
Moncey - Blanche;17;14;2;1;1;2023-04-06T13:41:17+02:00;Paris
Exelmans - Versailles;49;44;1;1;0;2023-04-06T13:48:02+02:00;Paris
Gare du Nord - Hôpital Lariboisière;49;45;3;1;2;2023-04-06T13:43:41+02:00;Paris
Schoelcher - Raspail;50;49;0;0;0;2023-04-06T13:48:43+02:00;Paris
Belidor - Gouvion-Saint-Cyr;39;38;0;0;0;2023-04-06T13:49:06+02:00;Paris
Claude Decaen - Cannebière;27;24;2;0;2;2023-04-06T13:47:23+02:00;Paris
Saint-Maur - Roquette;46;41;4;1;3;2023-04-06T13:48:17+02:00;Paris
Amelot - Saint-Sébastien;30;21;7;3;4;2023-04-06T13:48:16+02:00;Paris
11 Novembre 1918 - 8 Mai 1945;36;11;25;8;17;2023-04-06T13:48:27+02:00;Champigny-sur-Marne
Delphine Seyrig - Général Leclerc;53;45;8;5;3;2023-04-06T13:47:56+02:00;Pantin
Place Du Général De Gaulle;26;23;1;0;1;2023-04-06T13:45:22+02:00;Montreuil
Panthéon - Valette;39;4;33;5;28;2023-04-06T13:48:27+02:00;Paris
Pereire - Rennequin;23;21;2;2;0;2023-04-06T13:47:33+02:00;Paris
Pyrénées - Emmery;40;38;0;0;0;2023-04-06T13:48:17+02:00;Paris
Berri - Haussmann;35;10;24;8;16;2023-04-06T13:44:33+02:00;Paris
Gare RER - Canadiens;45;30;15;10;5;2023-04-06T13:44:05+02:00;Joinville-le-Pont
Cimetière de Montrouge;58;54;3;1;2;2023-04-06T13:47:52+02:00;Paris
Redoute - Les Courtilles;32;9;20;15;5;2023-04-06T13:48:27+02:00;Asnières-sur-Seine
Desaix - Edgar Faure;12;1;10;8;2;2023-04-06T13:47:36+02:00;Paris
Square Simon Bolivar;24;22;1;0;1;2023-04-06T13:42:03+02:00;Paris
Notre-Dame-des-Champs - Stanislas;19;0;18;15;3;2023-04-06T13:48:25+02:00;Paris
Richard Lenoir - Republique;58;51;2;2;0;2023-04-06T13:48:33+02:00;Paris
Saint-Ambroise - Parmentier;38;34;1;1;0;2023-04-06T13:46:39+02:00;Paris
Récollets - Square Villemin;17;15;2;0;2;2023-04-06T13:47:51+02:00;Paris
Pyramide - Ecole du Breuil;34;12;21;14;7;2023-04-06T13:47:47+02:00;Paris
Charles de Gaulle - Beauté;49;43;5;0;5;2023-04-06T13:47:53+02:00;Nogent-sur-Marne
Liège - Moscou;17;7;9;6;3;2023-04-06T13:48:50+02:00;Paris
Marne - Germain Dardan;22;18;4;4;0;2023-04-06T13:43:42+02:00;Montrouge
Mairie de Montreuil;52;41;7;2;5;2023-04-06T13:49:00+02:00;Montreuil
Mutualité;37;4;33;16;17;2023-04-06T13:49:05+02:00;Paris
Rouget de Lisle;35;3;30;26;4;2023-04-06T13:48:11+02:00;Choisy-le-Roi
Anatole France - President Roosevelt;29;10;19;13;6;2023-04-06T13:48:26+02:00;Aubervilliers
Cimetière de Montmartre;43;41;1;0;1;2023-04-06T13:45:37+02:00;Paris
Jourdain - Place des Grandes Rigoles;22;22;0;0;0;2023-04-06T13:48:43+02:00;Paris
Henry Farman;16;2;14;8;6;2023-04-06T13:45:28+02:00;Paris
Port-Royal - Hôpital du Val-de-Grâce;18;13;3;2;1;2023-04-06T13:48:05+02:00;Paris
Fontenay - Libération;25;18;6;4;2;2023-04-06T13:47:08+02:00;Vincennes
Grands Moulins de Pantin;50;38;11;4;7;2023-04-06T13:49:02+02:00;Paris
Gabriel Péri - Francisco Ferrer;18;16;1;0;1;2023-04-06T13:46:33+02:00;Le Pré-Saint-Gervais
Pajol - Place Herbert;39;36;2;0;2;2023-04-06T13:48:54+02:00;Paris
Concorde - Stalingrad;35;28;6;2;4;2023-04-06T13:48:07+02:00;Vitry-sur-Seine
Place de la Reine Astrid;58;4;51;31;20;2023-04-06T13:48:43+02:00;Paris
Carducci - Place Hannah Arendt;27;23;2;0;2;2023-04-06T13:48:28+02:00;Paris
Roger Salengro - Fontainebleau;25;22;3;0;3;2023-04-06T13:48:15+02:00;Le Kremlin-Bicêtre
Manin - Carrières d'Amérique;20;16;2;0;2;2023-04-06T13:47:09+02:00;Paris
Hôpital Européen Georges Pompidou;64;15;49;39;10;2023-04-06T13:47:49+02:00;Paris
Porte de Vanves;32;31;1;1;0;2023-04-06T13:43:07+02:00;Paris
Fédération - Suffren;25;24;1;1;0;2023-04-06T13:44:17+02:00;Paris
Victor Hugo - Jeanne Jugan;28;22;5;3;2;2023-04-06T13:40:39+02:00;Paris
Saint-Jacques - Val de Grâce;20;12;5;1;4;2023-04-06T13:48:57+02:00;Paris
Cimetière de Fontenay-sous-Bois;15;12;3;0;3;2023-04-06T13:48:55+02:00;Fontenay-sous-Bois
Conservatoire de Musique;25;6;19;12;7;2023-04-06T13:47:19+02:00;Choisy-le-Roi
Buisson Saint-Louis - Saint-Maur;19;18;0;0;0;2023-04-06T13:48:22+02:00;Paris
Lucie Aubrac - Fort;30;25;3;0;3;2023-04-06T13:48:28+02:00;Issy-les-Moulineaux
Place Albert Kahn;46;40;2;0;2;2023-04-06T13:48:13+02:00;Paris
Place Marcel Cachin;32;4;26;23;3;2023-04-06T13:47:16+02:00;Ivry-sur-Seine
Championnet - Vauvenargues;33;23;6;3;3;2023-04-06T13:48:09+02:00;Paris
Lecourbe - Jean Maridor;19;14;5;3;2;2023-04-06T13:49:07+02:00;Paris
Rocher - Laborde;65;35;29;13;16;2023-04-06T13:47:47+02:00;Paris
Mouton Duvernet - Général Leclerc;39;36;2;0;2;2023-04-06T13:49:02+02:00;Paris
Grenelle - Violet;35;6;28;26;2;2023-04-06T13:49:07+02:00;Paris
Marc Sangnier - Porte de Vanves;21;19;0;0;0;2023-04-06T13:46:29+02:00;Paris
Erasme - Ulm;24;8;15;3;12;2023-04-06T13:48:55+02:00;Paris
Etienne Jodelle - Saint Ouen;33;29;1;1;0;2023-04-06T13:44:25+02:00;Paris
Boissière - Etienne Dolet;21;19;1;0;1;2023-04-06T13:47:43+02:00;Montreuil
Guy Môquet - Etienne Dolet;23;21;1;0;1;2023-04-06T13:47:04+02:00;Malakoff
Sibelle - Alésia;25;24;0;0;0;2023-04-06T13:46:54+02:00;Paris
Jean Jaurès - Presles;30;20;6;2;4;2023-04-06T13:47:52+02:00;Pantin
Enghien - Faubourg Poissonnière;33;12;20;10;10;2023-04-06T13:46:20+02:00;Paris
Chabanais - Petits Champs;30;11;18;7;11;2023-04-06T13:45:21+02:00;Paris
David Weill - Parc Montsouris;22;18;3;0;3;2023-04-06T13:48:45+02:00;Paris
Bertie Albrecht - Hoche;32;19;11;6;5;2023-04-06T13:46:43+02:00;Paris
Saint Lambert - Blomet;27;21;4;2;2;2023-04-06T13:48:39+02:00;Paris
Cevennes - Bergers;29;21;8;6;2;2023-04-06T13:47:07+02:00;Paris
Place Robert Guillemard;24;4;19;16;3;2023-04-06T13:47:26+02:00;Paris
Molière - République;30;25;5;1;4;2023-04-06T13:45:39+02:00;Montrouge
Repos - Cimetière du Père Lachaise;33;31;0;0;0;2023-04-06T13:41:20+02:00;Paris
Marcadet - Barbès;37;33;2;0;2;2023-04-06T13:48:10+02:00;Paris
Edouard Tremblay - Julian Grimaux;30;28;2;0;2;2023-04-06T13:39:44+02:00;Vitry-sur-Seine
Hôtel de Ville de Boulogne Billancourt;26;2;19;17;2;2023-04-06T13:48:00+02:00;Boulogne-Billancourt
Gabriel Péri - Danielle Casanova;20;10;10;8;2;2023-04-06T13:48:40+02:00;Vitry-sur-Seine
Hoche - Jean Lolive;24;20;3;2;1;2023-04-06T13:48:11+02:00;Pantin
Tertres - Fontaine;28;24;4;1;3;2023-04-06T13:48:25+02:00;Bagneux
Marcelin Berthelot;27;11;15;13;2;2023-04-06T13:48:26+02:00;Boulogne-Billancourt
Place de la Porte de Champerret;0;0;0;0;0;2023-02-17T00:20:23+01:00;Paris
François Debergue - Croix de Chavaux;57;54;3;3;0;2023-04-06T13:46:18+02:00;Montreuil
Gare Rer de Fontenay sous Bois;61;55;4;1;3;2023-04-06T13:49:03+02:00;Fontenay-sous-Bois
Nationale - Place Jules Guesde;23;5;15;10;5;2023-04-06T13:48:06+02:00;Boulogne-Billancourt
Oberkampf - République;24;22;2;0;2;2023-04-06T13:44:17+02:00;Paris
Lakanal - Commerce;53;6;46;43;3;2023-04-06T13:49:05+02:00;Paris
Cossonnerie - Sébastopol;24;14;9;4;5;2023-04-06T13:46:25+02:00;Paris
Carnot - Pâquerettes;26;20;3;2;1;2023-04-06T13:47:06+02:00;Alfortville
Noisy le Sec - Jean-Baptiste Clément;22;21;0;0;0;2023-04-06T13:47:08+02:00;Bagnolet
Karl Marx;16;14;2;1;1;2023-04-06T13:44:00+02:00;Villejuif
Marcelle - Thalie;20;15;2;0;2;2023-04-06T13:40:11+02:00;Pantin
Raspail - Manufacture des Oeillets;32;13;19;16;3;2023-04-06T13:48:32+02:00;Ivry-sur-Seine
Louis Lumière - Porte de Bagnolet;20;17;2;0;2;2023-04-06T13:45:21+02:00;Paris
Cujas - Saint-Michel;19;11;4;3;1;2023-04-06T13:48:54+02:00;Paris
Jean Jaurès - Salvador Allende;43;43;0;0;0;2023-04-06T13:48:34+02:00;Malakoff
Henri Ste-Claire Déville - Paul Héroult;24;7;14;8;6;2023-04-06T13:42:09+02:00;Rueil-Malmaison
Victoire - Chaussée d'Antin;24;1;22;14;8;2023-04-06T13:44:30+02:00;Paris
Paris - Emile Zola;30;16;10;6;4;2023-04-06T13:48:22+02:00;Montreuil
Victor Hugo - Galliéni;34;7;26;19;7;2023-04-06T13:48:36+02:00;Boulogne-Billancourt
Quai Panhard et Levassor;57;9;46;36;10;2023-04-06T13:49:02+02:00;Paris
Richard Lenoir - Jean-Pierre Timbaud;36;32;2;1;1;2023-04-06T13:48:32+02:00;Paris
Chemin Vert - Saint-Maur;45;38;6;1;5;2023-04-06T13:43:39+02:00;Paris
Legendre - Dulong;23;19;2;0;2;2023-04-06T13:47:57+02:00;Paris
Botzaris - Parc des Buttes Chaumont;20;16;2;0;2;2023-04-06T13:46:42+02:00;Paris
Galilée - Kléber;32;22;10;2;8;2023-04-06T13:46:17+02:00;Paris
Général De Gaulle - Alouette;26;18;7;3;4;2023-04-06T13:41:24+02:00;Saint-Mandé
Square du Théâtre du Garde-Chasse;50;48;1;0;1;2023-04-06T13:46:27+02:00;Les Lilas
Rochechouart lamartine;24;16;7;7;0;2023-04-06T13:46:58+02:00;Paris
Estrapade - Ulm;16;4;11;1;10;2023-04-06T13:49:03+02:00;Paris
Joseph Liouville - Croix Nivert;64;60;4;2;2;2023-04-06T13:49:04+02:00;Paris
